lat;lon
55.51463263;37.53969919
55.51457679;37.53941134
55.51175897;37.54673493
55.3135746;37.2264087
55.51096184;37.5486971
55.68529988;37.66618995
55.65170459;37.34498912
55.55398853;37.34435237
55.63838804;37.53711379
55.59245656;37.45385847
55.59244878;37.45326249
55.59437199;37.4578308
55.6633643;37.7174147
55.52529944;37.51607387
55.52516518;37.51638142
55.66357085;37.71698846
55.70718833;37.76504236
55.5464673;37.54352379
55.67371339;37.71876752
55.53493225;37.37951775
55.72509345;37.71732768
55.53558696;37.37878996
55.54024604;37.3718119
55.5443332;37.36572275
55.54330657;37.36791587
55.6462508;37.702012
55.55458004;37.34333778
55.6485597;37.70462945
55.64720485;37.70341194
55.56045604;37.31719078
55.5560994;37.33800676
55.64414191;37.7002543
55.55659602;37.3372367
55.60458909;37.46964523
55.56018017;37.31859889
55.53873783;37.37316776
55.8428194;37.66528152
55.60237018;37.37268466
55.60297454;37.38921077
55.74773125;37.62791185
55.60281641;37.3632951
55.73952065;37.64122931
55.60291129;37.37032797
55.59813604;37.36105606
55.64544616;37.47302987
55.64425133;37.47169773
55.59865734;37.35917364
55.60058124;37.36729791
55.76294004;37.56027779
55.59996311;37.36662835
55.60263634;37.36876084
55.84489214;37.64276266
55.60310732;37.38762594
55.84517535;37.64157891
55.60337404;37.37253185
55.61692105;37.69414379
55.60089077;37.40565355
55.63400404;37.76359279
55.65571834;37.64797996
55.62539404;37.59464479
55.68468801;37.73113158
55.82362416;37.42943822
55.57444204;37.67516778
55.82014004;37.42654078
55.57380301;37.67386001
55.821279;37.42372841
55.60538704;37.66147179
55.60489204;37.66200878
55.60495556;37.47559073
55.60503691;37.4770282
55.60484516;37.4695539
55.63417344;37.38749435
55.63571655;37.38585669
55.74505744;37.67902172
55.66844914;37.5242979
55.71602832;37.74299163
55.84487604;37.63568278
55.87669591;37.68424662
55.87433974;37.70856308
55.71181904;37.52674378
55.70177104;37.72527978
55.56896731;37.29580269
55.56674814;37.2982301
55.70167252;37.7255451
55.79326704;37.52133777
55.56569408;37.29916555
55.74793189;37.45890981
55.58567337;37.43357875
55.7480731;37.46020069
55.75096964;37.70684324
55.69581289;37.46505151
55.69551768;37.46463002
55.70068939;37.76224066
55.69974131;37.76790873
55.6317559;37.41136896
55.65092205;37.57918571
55.63118183;37.40943275
55.68840449;37.48633572
55.70166843;37.77773015
55.62874162;37.43133532
55.77693378;37.51688889
55.84892946;37.59448691
55.71893787;37.56778022
55.69835943;37.35460978
55.69797029;37.35467459
55.85952615;37.60306387
55.75944288;37.73823138
55.70577851;37.51510507
55.74465154;37.7373167
55.89355797;37.52082324
55.74446527;37.73763282
55.89362959;37.52174483
55.64146138;37.38324496
55.87990261;37.51154584
55.6411688;37.3836013
55.8473587;37.58315842
55.84754725;37.57877726
55.68818045;37.66988443
55.68888401;37.67225549
55.68769174;37.43104595
55.84026465;37.37561129
55.66117089;37.5583021
55.63480904;37.41713079
55.52230604;37.46951178
55.52256922;37.47013081
55.63551349;37.41637195
55.63955104;37.41157479
55.51808043;37.45171769
55.63901204;37.41253879
55.51615304;37.45404879
55.51565883;37.45448041
55.59965605;37.74267706
55.52220152;37.45620981
55.59986681;37.74356337
55.64722715;37.36821571
55.69382235;37.72943528
55.69359708;37.72968742
55.72692632;37.46674362
55.70799247;37.5835798
55.60239193;37.74664741
55.65718218;37.76107143
55.65764277;37.35820674
55.85044344;37.5826467
55.64840567;37.27144523
55.85030514;37.58206986
55.84893682;37.58013915
55.64808186;37.27174182
55.88557756;37.59839163
55.64542403;37.30724199
55.80229744;37.34503684
55.64520239;37.30886034
55.80199721;37.34464883
55.60181253;37.74666353
55.87985066;37.48031008
55.68893682;37.54333406
55.68827206;37.54443021
55.52110388;37.45096292
55.52392004;37.44769379
55.52309839;37.4485497
55.51923605;37.45179411
55.64141056;37.33027226
55.64203494;37.33046831
55.79301173;37.69861945
55.51076004;37.57403978
55.71334164;37.94608235
55.92089904;37.53964378
55.4909687;37.3379983
55.48950548;37.33614764
55.60569364;37.35449874
55.63429692;37.33579056
55.56779885;37.28769142
55.79453587;37.54671008
55.71439741;37.45253634
55.56827463;37.28219553
55.56746264;37.28347512
55.56902274;37.29175308
55.73135905;37.4520881
55.5192021;37.49331716
55.52267501;37.51428688
55.6785634;37.52934658
55.63459942;37.48174309
55.48618231;37.5537541
55.71191002;37.71897243
55.7742181;37.68175603
55.17981618;37.03748292
55.52318808;37.47910121
55.77416362;37.68246262
55.52336319;37.47772429
55.61859411;37.6662753
55.5226414;37.45079254
55.52090086;37.48810983
55.52145682;37.48911942
55.52248706;37.50913094
55.51918999;37.49387335
55.52650092;37.44695407
55.52596176;37.44686015
55.530726;37.44573624
55.52231417;37.50341785
55.52166756;37.50130603
55.72092562;37.92708316
55.72097109;37.92552259
55.72115304;37.93401578
55.55302183;37.32976418
55.55298067;37.32911323
55.68662045;37.52278438
55.66720138;37.65851704
55.78979894;37.67883938
55.48971362;37.33326217
55.71631705;37.9284891
55.74224709;37.50102685
55.49020554;37.3341589
55.69461281;37.50787506
55.63618397;37.67286652
55.1790503;37.03689672
55.63639223;37.67218614
55.71122256;37.60505869
55.78916247;37.68118277
55.63736276;37.65823149
55.77642807;37.70584476
55.7812116;37.70101637
55.32370173;37.34895386
55.67335701;37.74905894
55.69009097;37.67570507
55.78170727;37.66819464
55.81231259;37.82731634
55.87348554;37.53715086
55.88348784;37.51779428
55.84295524;37.49676253
55.84075235;37.54506468
55.84380494;37.50020429
55.84379443;37.50222806
55.84320609;37.54341964
55.84091104;37.50334068
55.8464752;37.54100334
55.84887376;37.52188032
55.84995017;37.53602663
