lat;lon
55.794191418;37.405059339
55.711176089;37.625182612
55.701265;37.503886
55.713908042;37.660203275
55.787447767;37.614038
55.802900317;37.53203692
55.854029786;37.502213
55.843469;37.522243
55.812212083;37.568022249
55.543091019;37.572703882
55.639824362;37.694304694
55.890380797;37.593235
55.61365655;37.582521498
55.604834;37.599516
55.894510798;37.613014
55.651552577;37.517178674
55.972838;37.183854
55.636905802;37.656606199
55.976086;37.156864999
55.889912462;37.388432086
55.612162113;37.599315769
55.432122;37.368038
55.976559;37.157674
55.739620753;37.866576
55.645858726;37.606574
55.79556;37.708491
55.688489738;37.569959
55.669406732;37.551739
55.668750733;37.518951193
55.550951391;37.554084305
55.651552577;37.517178674
55.551913375;37.557270948
55.727796486;37.560824755
55.708628;37.891837
55.589574046;37.373087977
55.677484762;37.738286954
55.765944;37.635009
55.826752289;37.444926408
55.686404898;37.854898352
55.699857;37.84464
55.676329734;37.770872
55.710839;37.812129
55.75421166;37.83133708
55.799607176;37.806369643
55.647047322;37.411721964
55.696626;37.852868
55.739712964;37.779774283
55.9006698;37.396328
55.639982727;37.758187721
55.891238797;37.60877
55.712081303;37.617969345
55.79488547;37.808891453
55.665264;37.471866
55.62534253;37.508818075
55.713982745;37.395478
55.840698782;37.386736
55.491835682;37.298059
55.737579752;37.470264
55.667266732;37.577252
55.717836746;37.793295
55.716869;37.690587
55.626217016;37.749551582
55.70622292;37.755745781
55.699579898;37.73607639
55.699579898;37.73607639
55.652741737;37.767779654
55.721285747;37.814778
55.743196207;37.85980003
55.691036342;37.729919003
55.69002837;37.721239363
55.635241723;37.658217
55.781691;37.705059
55.655098728;37.607433
55.86650179;37.560129
55.765020248;37.570711243
55.611143584;37.606833056
55.592118147;37.664348833
55.725537896;37.56311018
55.639982727;37.758187721
55.622006719;37.647236
55.858931787;37.510729
55.658661729;37.430715
55.771819;37.705245
55.728517749;37.580002
55.759714551;37.702367793
55.878900104;37.714430409
55.738064871;37.673198033
55.737844142;37.673646794
55.735555002;37.669593195
55.892793797;37.573025
55.894835034;37.573103732
55.893202797;37.576446
55.747369102;37.598127729
55.847781;37.487622
55.846709;37.48976
55.847364596;37.489541017
55.847364596;37.489541017
55.848122288;37.48964073
55.758341053;37.714236619
55.755163751;37.715425392
55.761559759;37.71262
55.75232583;37.716264614
55.74629;37.720083
55.750211166;37.718474072
55.746327;37.720967
55.809321873;37.454211296
55.645086;37.398216
55.710562253;37.663652851
55.709957277;37.662721085
55.708596926;37.662407795
55.709272792;37.660701728
55.708416449;37.6596285
55.706531845;37.657650155
55.707115734;37.65883246
55.707115734;37.65883246
55.707115734;37.65883246
55.706244403;37.658402789
55.705915491;37.66008277
55.662293596;37.605710943
55.662293596;37.605710943
55.662298792;37.605706909
55.66040246;37.602083713
55.652418882;37.598865398
55.650319419;37.599800354
55.817772775;37.523206
55.824396777;37.528232
55.838889027;37.543620705
55.841998121;37.551597815
55.843483327;37.55560754
55.800122881;37.503540977
55.800818722;37.503013002
55.799197874;37.501922948
55.821230776;37.83353
55.880415;37.587564
55.88080528;37.587833362
55.880829997;37.587599765
55.882593;37.587843
55.897311799;37.589083
55.899248036;37.588898156
55.899248036;37.588898156
55.900220246;37.585767173
55.81167344;37.535297747
55.849824444;37.658509773
55.853605778;37.654402766
55.864749246;37.684911509
55.770707674;37.636930009
55.870983178;37.510439038
55.874769;37.514428
55.875854;37.516153
55.878977793;37.524018
55.879168016;37.524717795
55.884500718;37.529396664
55.886043243;37.525445806
55.720549549;37.618044234
55.682716736;37.667152
55.680839714;37.662829196
55.679985016;37.662633361
55.679985016;37.662633361
55.679985016;37.662633361
55.679984021;37.662628387
55.668779095;37.471782396
55.661990641;37.472468608
55.657704632;37.467539832
55.750948076;37.596488626
55.750248752;37.593340951
55.748469766;37.588761519
55.749653841;37.59279877
55.748837116;37.588868253
55.748469766;37.588761519
55.748030284;37.588198169
55.747579029;37.586534539
55.819989433;37.62129997
55.696822949;37.740001863
55.777610388;37.639969304
55.777448144;37.639911421
55.778648469;37.64045023
55.779402182;37.64199386
55.801321356;37.536717318
55.801341426;37.536770962
55.801363568;37.536738776
55.685586737;37.562451
55.85938;37.67416
55.860421;37.673248
55.861005;37.673473
55.860957;37.673559
55.860928;37.673421
55.870435;37.675002
55.874515;37.67801
55.722893;37.436308999
55.834315233;37.661038879
55.834401;37.661123
55.817618775;37.807677
55.817618775;37.807677
55.817734319;37.814432538
55.817741062;37.814415237
55.817745775;37.815515
55.817745775;37.815515
55.817745775;37.815515
55.817933775;37.820863
55.621389184;37.657725604
55.618101777;37.660380016
55.641971588;37.482513841
55.772352842;37.680140443
55.774791;37.684964
55.775479514;37.686756823
55.64140177;37.616848497
55.648636726;37.570993
55.663033731;37.582394
55.649496835;37.567280254
55.807437219;37.522952221
55.769932;37.663397
55.657438404;37.708305578
55.775240012;37.677211707
55.772881481;37.678796406
55.768061;37.678406
55.734139379;37.636983957
55.733810058;37.63772352
55.790697541;37.570588254
55.788594;37.570587
55.792825918;37.576718209
55.794102248;37.576449113
55.79527211;37.577108925
55.805505813;37.572481764
55.783168999;37.565696999
55.780640997;37.558389567
55.780770077;37.558468042
55.777096156;37.571971
55.775982118;37.557592034
55.780429;37.559496999
55.782792728;37.562678059
55.769533162;37.490989466
55.779499364;37.643471232
55.896052798;37.619709
55.739474;37.566334
55.786589209;37.491216033
55.86435636;37.558994827
55.872543344;37.538718861
55.879785794;37.592223
55.879740999;37.592134
55.790826662;37.499455749
55.793594662;37.494382722
55.793594662;37.494382722
55.794019883;37.49346877
55.79476127;37.491709793
55.79490968;37.491940782
55.793794532;37.492260431
55.793794532;37.492260431
55.795136468;37.491003505
55.794277237;37.490931594
55.794277237;37.490931594
55.794277237;37.490931594
55.794277237;37.490931594
55.793773768;37.492268
55.794277237;37.490931594
55.794277237;37.490931594
55.794277237;37.490931594
55.795557433;37.490296443
55.797370744;37.487013237
55.59968395;37.664521237
55.65991173;37.587123
55.661864174;37.583236022
55.636008723;37.752419
55.641156465;37.762788157
55.642301755;37.773522735
55.62539372;37.714982
55.625579986;37.716052804
55.62644772;37.725501
55.772597;37.712735
55.771524;37.713687
55.76862;37.71619
55.65604185;37.392455059
55.640842665;37.355956807
55.63991314;37.354449704
55.563064416;37.584372837
55.562926;37.584452
55.828102848;37.601064741
55.80601418;37.461620689
55.802853239;37.456028421
55.749509134;37.783580324
55.773358018;37.584930151
55.762962153;37.59497533
55.730144799;37.751223503
55.835428781;37.669016
55.836052709;37.667109984
55.778352257;37.721721571
55.775671645;37.723872108
55.767777888;37.731434388
55.761918;37.736258
55.76193838;37.736261723
55.579182;37.658095
55.651349888;37.522072945
55.647829169;37.53789749
55.797533802;37.583231489
55.807381321;37.580530979
55.786968332;37.588208395
55.786914427;37.588195257
55.706162948;37.585754903
55.730831023;37.631527828
55.730844675;37.631506879
55.730831023;37.631527828
55.669852118;37.627401696
55.658946017;37.618722353
55.808784998;37.461825368
55.769816187;37.585772855
55.771282;37.586329
55.709614795;37.474683096
55.717584056;37.664410192
55.711305122;37.668132327
55.781732745;37.722933725
55.690578399;37.532206948
55.690557001;37.53220708
55.68920573;37.532294723
55.688835617;37.529113275
55.686603331;37.525088903
55.686603331;37.525088903
55.685103311;37.522551174
55.672806501;37.500575982
55.672404716;37.496766072
55.667135412;37.495097633
55.659759;37.482367
55.85808743;37.666728374
55.873276792;37.516031
55.858534927;37.699624225
55.737444752;37.819915
55.863867961;37.425363696
55.688433778;37.587378882
55.682992185;37.594853241
55.827257;37.446794
55.827827539;37.446906232
55.75898947;37.773650668
55.758413;37.774267
55.757942;37.775254
55.755919;37.776842
55.749545062;37.780549884
55.749486756;37.780633
55.748372;37.781155
55.746658832;37.782427534
55.762012226;37.778908364
55.759804999;37.779033
55.759764999;37.779041
55.757695953;37.781303708
55.751385513;37.783385373
55.751384573;37.783388026
55.750992848;37.783547657
55.750992848;37.783547657
55.750992848;37.783547657
55.750989974;37.783549702
55.750992848;37.783547657
55.75278;37.784143
55.750417945;37.784254332
55.751400756;37.785609
55.749204999;37.785178
55.746177397;37.786707437
55.763256107;37.785550723
55.763011023;37.784306621
55.759716999;37.787656
55.758702;37.787334
55.754624224;37.790782827
55.754391;37.790915
55.753962757;37.791136
55.753999077;37.791128565
55.753999077;37.791128565
55.753999077;37.791128565
55.753999077;37.791128565
55.753752;37.791228999
55.753999077;37.791128565
55.817642177;37.496809627
55.643621178;37.511114478
55.73378933;37.670134635
55.728719685;37.678653503
55.728719685;37.678653503
55.709973135;37.735383367
55.705212074;37.762905558
55.704328965;37.769842416
55.704328965;37.769842416
55.706473743;37.76446
55.704355054;37.780372787
55.695330672;37.81276537
55.717740552;37.74077227
55.815817775;37.505944
55.816509729;37.514963357
55.806718146;37.503296115
55.808341426;37.500527396
55.808341426;37.500527396
55.808341426;37.500527396
55.807214615;37.50056653
55.808982773;37.496996
55.808900355;37.492289118
55.810258431;37.491649766
55.810459186;37.490855261
55.814109511;37.468235158
55.751886017;37.679896133
55.751882479;37.679897238
55.756370434;37.587768828
55.610087247;37.727999566
55.610319396;37.729529931
55.733283347;37.662428107
55.732900782;37.663031324
55.769827712;37.601931382
55.882607316;37.564119866
55.883999054;37.564829912
55.879462183;37.555853342
55.879269775;37.556761324
55.879250793;37.556714
55.716328387;37.660376784
55.712149179;37.659023268
55.579255707;37.643451
55.80127521;37.555619701
55.80127521;37.555619701
55.802611818;37.550761365
55.792938773;37.582318864
55.800367018;37.574680674
55.816535597;37.460208002
55.81558019;37.463734303
55.824218777;37.653023
55.823975114;37.6539624
55.823197467;37.655917101
55.822114765;37.663069306
55.821369619;37.665437952
55.821369619;37.665437952
55.784173138;37.690269527
55.784173138;37.690269527
55.783712044;37.692216766
55.72183;37.423626
55.725383;37.425600999
55.725165;37.425600999
55.796453034;37.516169375
55.803288796;37.514447874
55.852263178;37.440147051
55.857175081;37.432023079
55.858784322;37.429620715
55.858822;37.4243
55.85879007;37.424047627
55.857326974;37.411612909
55.85611073;37.412334784
55.854082;37.409567
55.756845737;37.595996192
55.756845737;37.595996192
55.774568185;37.630075246
55.780099328;37.630800016
55.784319648;37.63316317
55.787471258;37.633477253
55.779919545;37.461559446
55.787971767;37.464691
55.749615204;37.599537638
55.750765869;37.599588519
55.644059831;37.730628165
55.775795237;37.708782425
55.740291711;37.650930527
55.740291711;37.650930527
55.740291711;37.650930527
55.74012608;37.650495187
55.816004692;37.591213353
55.743916976;37.866767012
55.758313914;37.613483651
55.758313914;37.613483651
55.758493;37.613198
55.758411859;37.613416162
55.76043007;37.611263912
55.760427693;37.6112706
55.760427693;37.6112706
55.760940302;37.611429125
55.762248411;37.609372499
55.759693547;37.61065286
55.763404406;37.607886408
55.763838913;37.607569745
55.76366976;37.607599
55.762301363;37.607928693
55.763560002;37.606491354
55.76374083;37.606231272
55.765336611;37.603546699
55.767100342;37.600098611
55.767170577;37.600052082
55.768831;37.597285
55.772073448;37.591843693
55.772215487;37.592977028
55.773357554;37.589760703
55.772419849;37.592588048
55.771916567;37.708419552
55.772223004;37.708982958
55.77293;37.710209
55.776565081;37.597199521
55.808213773;37.713922
55.719792575;37.733662971
55.721156676;37.41873311
55.722011;37.417832999
55.722953;37.416867
55.723341;37.417339
55.724766;37.414916
55.725443157;37.41416816
55.776544763;37.63562
55.766857205;37.580568403
55.770542835;37.581336841
55.768554135;37.58091809
55.763782641;37.572047126
55.768412934;37.57279917
55.773134279;37.57870135
55.77433086;37.581317193
55.606517943;37.75158328
55.607954177;37.754842884
55.609286274;37.758398701
55.691662926;37.722600701
55.676387246;37.717024407
55.678992796;37.716988479
55.657407285;37.485304448
55.656182844;37.484836443
55.66270273;37.488905
55.867;37.530993
55.867484136;37.589991637
55.863967067;37.607703784
55.86216973;37.606280595
55.767009503;37.556632035
55.719533747;37.64964
55.730962574;37.611540336
55.731368586;37.611469088
55.821947783;37.572407946
55.823113507;37.571860238
55.824928034;37.57122962
55.824928034;37.57122962
55.827804536;37.571814029
55.830448722;37.57181414
55.841361312;37.571470282
55.841361312;37.571470282
55.842419528;37.570500117
55.832977774;37.571809165
55.833809091;37.56859085
55.844337086;37.569934334
55.844337086;37.569934334
55.841880388;37.569127503
55.841880388;37.569127503
55.846849223;37.568754295
55.85658719;37.562554181
55.855247786;37.562907
55.87630688;37.545759799
55.88270515;37.54184813
55.889066;37.540434117
55.889066442;37.540610274
55.891229581;37.541440155
55.894438798;37.542375
55.621291903;37.605500682
55.722595598;37.567479952
